annee;semestre;u_e_gaz_naturel;france_gaz_naturel;u_e_electricite;france_electricite
1998;S1;35;33;133;127
2004;S2;37;36;132;119
2006;S2;50;48;144;119
2007;S2;51;51;156;122
2012;S1;65;63;191;139
2013;S1;69;67;204;152
2017;S2;67;69;208;175
2018;S1;62;66;209;174
2019;S1;66;73;217;177
2021;S1;63;69;220;194
2021;S2;78;78;236;202
1996;S2;32;30;132;132
2002;S1;41;38;133;116
2011;S1;60;57;185;138
2013;S2;74;72;206;159
2014;S1;68;70;205;158
2020;S2;69;75;213;195
1995;S1;32;30;135;129
1997;S1;34;31;134;132
1999;S1;33;31;129;120
2000;S1;36;29;132;117
2004;S1;37;36;132;119
2005;S1;40;38;135;119
2007;S1;53;48;153;121
2008;S2;66;57;167;120
2009;S1;63;54;167;120
2009;S2;55;58;167;120
2010;S1;56;52;172;128
2016;S1;64;65;205;168
2016;S2;67;67;206;171
2017;S1;61;63;208;170
2019;S2;72;83;217;191
1995;S2;31;30;133;126
1996;S1;31;31;134;132
1998;S2;34;32;132;124
2000;S2;38;31;133;115
2001;S1;41;35;131;115
2002;S2;40;37;132;116
2003;S1;41;38;135;116
2006;S1;46;45;141;119
2008;S1;58;52;160;121
2011;S2;68;64;188;142
2012;S2;73;68;199;150
2014;S2;74;76;208;162
2015;S1;67;70;208;167
2020;S1;64;72;213;189
1997;S2;35;32;133;127
1999;S2;33;29;132;117
2001;S2;42;38;132;115
2003;S2;40;39;135;116
2005;S2;42;39;136;119
2010;S2;62;57;177;135
2015;S2;72;73;208;168
2018;S2;70;76;214;179
